price	pred_price	std
860	922.5	21.08
1750	1684.46	37.06
1920	2054.73	37.4
1550	1540.48	39.6
1440	1394.17	22.7
850	926.7	18.6
1399	1481.74	25.78
990	968.85	19.13
720	713.4	16.65
960	1032.15	22.81
1630	1709.83	33.14
1180	1219.57	24.93
2790	2813.4	59.95
330	358.77	9.61
1250	1254.17	24.72
1380	1409.71	28.22
1880	1731.58	38.32
950	806.62	22.66
1200	1026.95	23.33
990	1126.19	22.1
765	814.74	16.7
1220	1064.09	21.01
1099	976.84	15.78
540	521.41	15.92
950	1081.08	25.38
1090	969.13	21.53
450	558.68	12.8
500	424.93	11.48
1250	1325.87	29.93
2350	2014.9	43.88
1690	1614.52	29.68
1720	1701.49	34.23
3550	3961.84	82.06
1739	1876.65	37.07
1599	1605.38	38.95
2490	2652.56	64.63
1250	1169.31	20.68
1540	1431.6	25.47
690	662.19	14.98
590	562.44	15.74
470	449.14	13.66
1870	1853.55	36.37
1799	1786.14	30.92
3200	2764.29	76.9
1240	1341.7	24.04
550	504.57	11.26
320	295.61	9.67
550	652.64	13.99
820	920.3	13.04
1550	1525.54	26.89
1420	1379.02	20.13
2180	2141.66	33.8
799	773.02	18.25
1530	1500.73	35.65
1080	1091.77	20.43
2280	2172.66	43.95
890	834.74	20.85
1550	1536.09	27.1
650	669.96	16.06
950	1003.52	20.18
1240	1190.99	25.71
1130	1159.43	22.99
3290	2970.29	50.47
1950	1948.79	40.12
1390	1355.93	28.39
1100	1017.19	22.58
1550	1588.61	33.35
1550	1610.73	29.83
2550	2593.27	51.53
590	576.43	12.02
1330	1306.96	24.64
1090	1087.29	19.5
2250	2202.15	42.43
990	917.49	20.46
2250	2335.23	48.08
640	567.36	11.65
2190	2133.95	54.09
1110	1006.78	23.82
790	773.16	19.54
580	556.3	10.74
2200	2322.26	52.64
950	877.36	23.96
2450	1992.33	71.06
770	781.4	23.11
1400	1500.32	30.16
1330	1309.77	24.87
1170	1266.19	29.14
520	544.32	15.79
470	503.71	10.38
1490	1498.28	34.88
520	557.46	12.83
930	978.13	19.32
990	958.56	20
2840	2846.53	51.78
1100	1178.24	23.19
1100	954.43	22.28
1060	1109.97	18.46
1370	1397.68	30.99
2690	2683.82	58.69
1150	1103.96	26.69
320	349.5	8.07
630	668.68	13.88
3900	3941.18	82.69
370	444.72	14.88
1560	1741.37	44.87
1260	1319.59	18.62
830	883.99	16.21
590	635.93	16.21
3590	3779.68	88.33
1280	1405.69	28.05
3030	3159.73	69.05
2050	1968.72	35.5
3590	3604.27	78.43
410	419.64	11.2
1040	1011.85	21.27
1190	1203.01	28.43
3770	3869.07	82.68
1070	1146.95	23.92
550	576.55	12.82
1290	1151.42	24.58
2250	2385.44	49.4
1780	1889.58	35.04
1120	1075.62	21.17
740	792.93	17.1
520	507.83	16.39
2540	2433	47.25
950	931.23	19.24
800	832.42	21.99
500	485.44	14.95
480	444.21	13.92
1840	1762.41	35.92
990	919.07	20.64
2230	2209.58	37.58
850	932.21	19.9
999	945.91	15.48
1150	1015.86	22.79
3450	3526.21	72.67
1350	1483.15	30.02
1450	1472.67	26.72
1950	1952.45	46.02
1470	1491.46	27.6
1890	1919.56	32.34
450	481.26	13.22
980	1061.23	24.15
1000	956.69	31.45
1100	928.88	30.69
2700	2874.6	70.74
1200	1216.16	24.02
2390	2106.56	53.33
360	393.12	10.57
1700	1612.24	34.48
2790	2806.91	58.66
1350	1355.05	26.05
1070	962.86	19.87
3650	3690.67	84
920	995.49	20.24
2570	2495.73	49.17
890	904.84	29.07
730	663.67	12.68
2320	2192.71	44.71
690	733.71	16.12
650	623.15	13.19
550	510	10.73
640	732.74	16.11
850	893.62	17.65
790	870.7	19.79
1990	1999.94	41.62
2730	2657.8	59.38
599	649.62	13.51
720	720.53	16.47
770	733.49	16.96
680	629.99	15.06
2900	2863.08	56.2
1320	1320.22	29.73
1180	1037.07	20.58
590	592.51	11.68
1310	1346.88	24.73
1000	893.35	16.45
890	943.03	20.66
1530	1543.96	30.01
1395	1531.61	27.89
1180	1202.18	25.53
2550	2562.2	49.18
1390	1468.75	35.53
330	335.46	10.64
550	540.02	13.44
350	328.81	13.39
790	738.85	16.43
1220	1248.81	26.25
670	688.22	19.34
1470	1348.42	23.97
1920	1891.3	35.98
780	792.82	14.58
590	547.36	16.73
450	439.09	12.81
450	519.89	17.17
1720	1734.28	40.1
2500	2498.13	48.74
1090	1113.75	23.31
1780	1626.43	31.59
1130	1129.61	21.65
2030	2058.13	36.36
2930	2951.64	71.35
670	628.49	14.6
1030	983.88	22.97
920	993.77	19.88
1190	1233.75	28.07
630	593.54	16.77
2250	2245.83	39.68
2030	1940.11	36.69
3580	3591.4	81.45
1590	1660.86	34.6
620	657.29	14.69
1430	1484.16	24.96
1080	1172.65	23.05
1320	1220.69	27.25
2220	2116.2	38.34
1234	1278.64	25.03
1120	1108.49	22.91
1700	1691.47	29.31
870	899.02	23.56
1450	1524.52	30.44
1170	1187.68	26.25
1090	971.17	21.13
1520	1448.59	31.54
2980	2885.7	62.35
850	815.12	17.46
2320	2391.64	40.26
2170	2147.44	46.28
420	461.97	13.06
1450	1469.5	27.53
1800	1880.35	31.83
1770	1861.61	32.51
1290	1169.42	17.78
1550	1488.79	38.02
1580	1538.72	26.92
560	534.74	12.43
1120	1069.16	23.8
2400	2279.58	51.21
700	757.48	19.36
1320	1382.46	27.6
1260	1207.99	29.94
920	850.8	17.61
780	796.63	16.98
1050	1071.67	22.85
3090	2927.46	66.88
1699	1555.4	28.11
1280	1277.6	23.1
1300	1454.47	28.35
890	961.07	19.11
490	524.26	14.83
1400	1348.88	22.95
250	244.01	8.97
1570	1747.42	40.61
1950	1897.19	46.76
1400	1427.98	26.34
1950	1929.29	45.18
1190	1105.38	22.06
1150	1237.73	23.39
950	976.13	29.27
1140	1213.62	25.94
970	1055.73	24.06
1700	1575.9	31.6
1500	1470.86	28.53
1580	1520.33	27.6
1899	2049.29	44.54
730	662.94	20.47
780	729.21	13.96
1160	1028.71	20.64
970	974.33	24.21
330	362.02	11.97
930	934.99	19.17
1140	1202.5	22.9
1400	1482.95	27.88
2160	2203.4	44.64
1560	1552.7	36.89
430	404.26	11.29
3190	3360.98	90.06
730	714.19	15.99
1370	1263.38	20.81
2300	2426.44	51.55
1950	2034.78	40.76
740	789.81	15.45
2250	2339.03	51.45
2999	2956.24	58.75
1740	1669.51	30
650	696.57	14.43
1860	1987.58	46.85
1280	1373.04	30.92
1870	1787.27	37.26
910	927.99	20.51
340	350.84	10
2490	2495.16	49.77
1420	1361.12	26.46
2020	2129.71	49.23
1930	1901.63	36.82
680	671.15	12.41
1550	1574.2	34.2
950	1068.6	24.76
900	846.07	16.04
999	1047.25	24.46
1350	1235.41	21.37
1410	1396.08	26.88
1200	1328.61	30.43
1190	1228.68	20.92
450	507.51	14.51
1179	1221.39	22.66
2680	2748.56	53.15
560	557.67	14.71
1230	1214.86	27.29
980	1179.91	22.57
2700	2963.37	55.27
760	764.29	18.13
1070	972.11	18.49
750	773.08	18.71
860	885.3	19.82
2420	2306.92	49.49
1390	1302.2	28.6
2740	2769.58	51.55
2650	2675.63	51.56
3150	3079.88	71.13
1650	1640.96	36.9
950	946.2	23.69
1400	1428.04	29.73
1990	2099.88	41.49
1080	1115.61	21.5
2380	2357.66	41.13
1190	1168.86	24.73
2350	2272.78	42.64
820	847.02	14.48
920	1008.23	19.1
950	943.18	17.13
2730	2767.37	49.34
1050	1078.08	26.62
1350	1386.65	25.14
1130	1124.92	24.79
660	702.54	15.27
1190	1193.47	23.83
1260	1285.26	21.3
2150	2199.48	45.97
730	732.93	15.09
590	574.41	14.67
940	851.73	14.92
970	974.68	23.19
970	915.9	16.5
450	504.71	15.48
850	881.46	18.93
1020	1125.25	22.51
840	727.3	19.6
1310	1455.06	28.88
3370	3653.34	85.47
430	527.54	11.67
420	384.63	9.4
360	399.77	9.94
2020	2034.01	35.74
890	1000.44	22.08
1750	1756.84	27.79
1520	1449.05	27.85
2080	2215.8	45.44
2250	2228.77	40.13
790	721.38	14.84
1610	1552.51	25.76
1380	1432.7	26.07
1299	1306.17	26.25
2150	2251.37	37.86
900	891.07	17.07
1780	1816.88	35.51
1060	1153.55	23.46
1220	993.33	21.49
1030	900.9	16.75
790	874.63	19.72
1490	1581.59	28.26
759	674.58	16.75
4350	3913.16	83.53
1390	1219.14	24.54
2290	2331.08	59.46
1550	1674.45	26.94
1150	1283.07	25.81
1150	1122.89	26.85
4200	4507.14	97.68
830	679.69	16.2
2730	2841.03	64.71
1520	1742.16	49.68
1590	1719.49	37.19
470	407.69	11.09
5350	4928.59	153.08
1190	1023.35	20.51
480	565.87	17.75
470	452.76	12.62
1490	1475.05	34.96
810	785.41	22.6
1070	1003.31	21.54
1210	1128.71	25.74
1440	1432.51	30.72
1670	1666.38	35.7
2680	2740.17	62.4
560	661.62	18.76
2680	2601.39	47.77
740	742.58	18.3
420	472.32	12.85
540	493.31	11.98
280	295.83	8.29
520	515.62	12.2
2050	2043.72	37.63
1120	1051.95	16.56
1250	1196.38	21.65
1940	2050.69	36.78
1570	1662.55	29.73
950	1005.57	18.44
1300	1228.56	26.35
820	756.54	17.46
1290	1202.01	23.46
1320	1400.22	31.52
1650	1661.82	27.42
1699	2012.44	36.59
790	787.57	15.77
2530	2556.47	45.9
360	410.73	10.03
1020	996.14	21.12
830	760.53	17.55
840	846.65	17.31
290	329.22	12.5
1600	1567.82	32.2
560	571.07	13.79
1690	1551.39	30.1
2960	3070.82	58.35
1050	1021.96	22.94
1320	1280.52	27.87
580	570.92	20.01
1360	1349.46	24.84
460	467.86	10.88
1150	1149.56	24.53
940	1004.38	26.47
1530	1635.11	32.91
1092	1113.71	18.56
670	660.69	15.92
930	944.33	20.46
1100	971.24	19.83
820	810.97	15.84
1020	892.43	18.36
1020	1093.81	23.62
1250	1285.17	24.69
2690	2704.68	55.57
1250	1215.74	21.08
2290	2363.76	56.68
1050	963.43	19.58
