model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
11635.0,,,,,205404.0,,원파크,,,,,,,,,2518.0,434.0
11636.0,,,,,205406.0,,월드컵자동차매매단지,,,,,,,,,2533.0,523.0
11639.0,,,,,205407.0,,월평단지,,,,,,,,,2539.0,657.0
11640.0,,,,,205408.0,,유량자동차매매단지,,,,,,,,,2554.0,658.0
11641.0,,,,,205409.0,,의정부시 개별단지,,,,,,,,,2555.0,659.0
11642.0,,,,,205411.0,,이천시 개별단지,,,,,,,,,2663.0,660.0
11643.0,,,,,205415.0,,이천중고자동차매매단지,,,,,,,,,2666.0,661.0
11644.0,,,,,205416.0,,익산오토월드단지,,,,,,,,,2667.0,666.0
11645.0,,,,,205417.0,,인천교자동차매매단지,,,,,,,,,2668.0,668.0
11686.0,,,,,205418.0,,일신자동차매매단지,,,,,,,,,2669.0,696.0
11687.0,,,,,205420.0,,자동차1번지매매단지,,,,,,,,,2672.0,762.0
11691.0,,,,,205421.0,,자동차마을,,,,,,,,,2683.0,763.0
11698.0,,,,,205423.0,,작전자동차매매단지,,,,,,,,,2726.0,766.0
11702.0,,,,,205426.0,,장동자동차매매단지,,,,,,,,,2728.0,768.0
11704.0,,,,,205427.0,,장안모터프라자단지,,,,,,,,,2729.0,830.0
11705.0,,,,,205428.0,,장안평자동차매매단지,,,,,,,,,2731.0,840.0
11708.0,,,,,205429.0,,전방자동차매매단지,,,,,,,,,2756.0,886.0
11709.0,,,,,205430.0,,전북자동차매매단지,,,,,,,,,2763.0,887.0
11717.0,,,,,205431.0,,전주시 덕진구 개별단지,,,,,,,,,2767.0,888.0
11718.0,,,,,205432.0,,전주시 완산구 개별단지,,,,,,,,,2768.0,890.0
11720.0,,,,,205433.0,,제물포자동차매매단지,,,,,,,,,2772.0,892.0
11724.0,,,,,,,제일북수원매매단지,,,,,,,,,2773.0,893.0
11726.0,,,,,,,제주시 개별단지,,,,,,,,,2785.0,894.0
11728.0,,,,,,,제천시 개별단지,,,,,,,,,2791.0,898.0
11733.0,,,,,,,주안자동차매매단지,,,,,,,,,2793.0,950.0
11750.0,,,,,,,중구 개별단지,,,,,,,,,2798.0,951.0
11752.0,,,,,,,중부자동차매매단지,,,,,,,,,2825.0,962.0
11756.0,,,,,,,중부종합시장,,,,,,,,,2834.0,963.0
11760.0,,,,,,,중앙자동차매매단지(수원),,,,,,,,,2835.0,964.0
